net,length_um
net43,31.27
net22,28.98
net65,27.3
net63,24.5
net53,20.02
net55,19.46
net74,18.34
net13,17.78
net39,17.27
net68,17.22
net75,17.22
net76,17.22
net37,16.66
net58,16.1
net10,15.54
net4,15.54
net45,15.54
net46,15.54
net47,15.54
net51,15.54
net52,15.54
net28,15.54
net29,15.54
net30,15.54
net1,15.54
net67,14.98
net69,14.98
net70,14.98
net72,14.98
net3,14.98
net61,14.98
net17,14.42
net25,13.86
net8,13.3
net12,13.3
net16,13.3
net6,13.3
net7,13.3
net41,13.3
net44,13.3
net49,13.3
net50,13.3
net26,13.3
net57,13.3
net31,13.3
net33,13.3
net66,9.94
net9,9.38
net73,8.82
net56,8.82
net32,8.82
net14,8.26
net62,8.26
net35,8.26
net40,8.26
net2,7.7
net71,7.7
net15,7.7
net18,7.7
net64,7.7
net36,7.7
net42,7.7
net11,7.19
net21,7.14
net23,7.14
net38,7.14
net60,7.14
net5,6.58
net24,6.58
net34,6.58
net48,6.58
net59,6.58
net19,6.07
net54,6.07
net20,6.02
net27,5.51
